FID	Shape	GaugeLID	Status	Location	Latitude	Longitude	Waterbody	State	Observed	ObsTime	Units	Action	Flood	Moderate	Major	LowThresh	LowThreshU	WFO	HDatum	PEDTS	SecValue	SecUnit	URL
2492	Point	FMSA2	no_flooding	South Fork	64.057778	-141.767222	Fortymile River	AK	85.44	7/8/2016 16:00	ft	91	97	98	 	 	ft	pafg	NAD83/WGS84	HGIRZ	4.2	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pafg&gage=fmsa2
2493	Point	FMWA2	no_flooding	West Fork	63.889444	-142.232222	Fortymile River	AK	7.12	7/8/2016 16:00	ft	12	21	 	 	 	ft	pafg	NAD83/WGS84	HGIRZ	0.94	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pafg&gage=fmwa2
2494	Point	FMWC1	no_flooding	Fremont Weir	38.759444	-121.666389	Sacramento River	CA	16.24	7/8/2016 16:15	ft	33.5	40.8	44.4	45.4	 	ft	sto	NAD83/WGS84	HGIRG	11.4	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=sto&gage=fmwc1
2495	Point	FNCK2	no_flooding	Fern Creek	38.16	-85.542222	Chenoweth Run	KY	2.99	7/8/2016 15:55	ft	7.5	 	 	 	 	ft	lmk	NAD27	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=fnck2
2496	Point	FNCV2	not_defined	FINE CREEK MILLS	37.598056	-77.819722	Fine Creek	VA	1.8	7/8/2016 15:45	ft	 	 	 	 	 	ft	akq	NAD27	HGIRG	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=fncv2
2497	Point	FNEC2	no_flooding	Colorado Springs	38.816389	-104.822222	Fountain Creek	CO	5.6	7/8/2016 15:45	ft	9.5	11.5	16	18	 	ft	pub	NAD27	HGIRG	0.06	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pub&gage=fnec2
2498	Point	FNGM6	not_defined	Fannegusha Creek/Sand Hill	32.505833	-89.813056	Fannegusha Creek	MS	-0.15	7/8/2016 16:00	ft	 	 	 	 	 	ft	jan	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=fngm6
2499	Point	FNHI4	no_flooding	Finchford	42.629426	-92.543522	West Fork Cedar River	IA	7.32	7/8/2016 15:45	ft	12	17	18	20	 	ft	dmx	NAD83/WGS84	HGIRG	0.56	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=fnhi4
2500	Point	FNKM2	no_flooding	Finksburg	39.489444	-76.903056	Beaver Run	MD	0.81	7/8/2016 16:15	ft	4	5	8	13	 	ft	lwx	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=fnkm2
2501	Point	FNNM7	no_flooding	Fenton	38.512222	-90.431389	Meramec River	MO	8.24	7/8/2016 15:45	ft	22	25	29	32	 	ft	lsx	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=fnnm7
2502	Point	FODI4	no_flooding	Fort Dodge	42.508303	-94.203573	Des Moines River	IA	4.91	7/8/2016 15:00	ft	9	10.5	16	17	 	ft	dmx	NAD83/WGS84	HGIRG	1.94	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=fodi4
2503	Point	FODK2	no_flooding	Ford Lock	37.894722	-84.262222	Kentucky River	KY	13.55	7/8/2016 15:30	ft	24	26	35	40	 	ft	lmk	NAD27	HPIRG	8.74	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=fodk2
2504	Point	FOGG1	no_flooding	W.F. George LD (USACE)	31.623333	-85.063889	Chattahoochee River	GA	102.17	7/8/2016 16:15	ft	130	134	145	160	 	ft	tae	NAD83/WGS84	HTIRG	0.11	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=fogg1
2505	Point	FOLA1	no_flooding	Folsom Bridge (SR 167)	31.471944	-85.904167	Pea River	AL	0.21	7/8/2016 16:17	ft	17	 	 	 	 	ft	tae	NAD83/WGS84	HGIRR	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=fola1
2506	Point	FOLF1	not_defined	Foley (US 27)	30.098056	-83.471944	Fenholloway River	FL	1.78	7/8/2016 15:45	ft	 	 	 	 	 	ft	tae	NAD83/WGS84	HGIRG	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=folf1
2507	Point	FOMC2	no_flooding	Fort Morgan	40.2684	-103.8012	South Platte River	CO	9.23	7/8/2016 15:30	ft	15	17.5	18.5	20	 	ft	bou	NAD83/WGS84	HGIRG	0.26	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=fomc2
2508	Point	FOMS1	no_flooding	Lake Wylie	35.020833	-81.008333	Catawba River	SC	97.41	7/8/2016 15:00	ft	100	102	105	110	 	ft	gsp	NAD83/WGS84	HPIRZ	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=foms1
2509	Point	FONN7	no_flooding	FONTANA DAM TVA	35.450556	-83.805556	Little Tennessee River	NC	1698.89	7/8/2016 11:00	ft	1710	1711	1714	1715	 	ft	gsp	NAD83/WGS84	HPIRZ	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=fonn7
2510	Point	FORM7	no_flooding	Table Rock Dam	36.596111	-93.309722	White River (MO)	MO	917.11	7/8/2016 16:00	ft	 	931	 	 	 	ft	sgf	NAD83/WGS84	HPIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=form7
2511	Point	FORS2	no_flooding	Forestburg	43.973889	-98.070556	James River	SD	4.48	7/8/2016 15:15	ft	10	12	14	16	 	ft	fsd	NAD83/WGS84	HGIRG	0.13	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=fors2
2512	Point	FOSN7	no_flooding	Foscoe	36.173611	-81.745	Watauga River	NC	1.96	7/8/2016 11:45	ft	6	 	 	 	 	ft	rnk	NAD83/WGS84	HGIRR	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=fosn7
2513	Point	FOSO2	not_defined	Foss Reservoir	35.538889	-99.185833	Washita River	OK	1638.38	7/8/2016 16:00	ft	 	 	 	 	 	ft	oun	NAD83/WGS84	HPIRG	148	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=foso2
2514	Point	FOWF1	no_flooding	Fowler Avenue	28.054167	-82.363889	Hillsborough River (FL)	FL	22.79	7/8/2016 16:00	ft	25	29	31	33	 	ft	tbw	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tbw&gage=fowf1
2515	Point	FOXN6	not_defined	Schoharie	42.67895	-74.303225	Fox Creek	NY	585.8	7/8/2016 16:15	ft	 	 	 	 	 	ft	aly	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=aly&gage=foxn6
2516	Point	FOXN8	no_flooding	Foxholm	48.372222	-101.505	Souris River	ND	1567.16	7/8/2016 16:15	ft	1572	1573	1576	1578	 	ft	bis	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=bis&gage=foxn8
2517	Point	FOXR1	no_flooding	Fox Point	41.806667	-71.4	Narragansett Bay	RI	5.15	7/8/2016 16:00	ft	6	7	9	12	 	ft	box	NAD83/WGS84	HMIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=box&gage=foxr1
2518	Point	FOYM8	not_defined	Foys Bend near Kalispell	48.154167	-114.248889	Flathead River	MT	95.82	7/8/2016 15:45	ft	 	 	 	 	 	ft	mso	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=foym8
2519	Point	FPHT1	not_defined	Fort Patrick Henry Dam	36.498056	-82.508611	South Fork Holston River	TN	1260.94	7/8/2016 11:00	ft	 	 	 	 	 	ft	mrx	NAD83/WGS84	HPIRZ	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=fpht1
2520	Point	FPKG1	no_flooding	Fort Pulaski	32.036667	-80.901667	Tide Station	GA	6.54	7/8/2016 15:54	ft	8.7	9.2	9.6	10	 	ft	chs	NAD83/WGS84	HMIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=fpkg1
2521	Point	FPKM8	not_defined	Fort Peck Reservoir	48.011944	-106.411667	Missouri River	MT	2235.64	7/7/2016 5:00	ft	 	 	 	 	 	ft	ggw	NAD83/WGS84	HPIRZ	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ggw&gage=fpkm8
2522	Point	FPOM8	no_flooding	Polson	47.680278	-114.245833	Flathead River	MT	6.34	7/8/2016 15:30	ft	 	18	 	 	 	ft	mso	NAD83/WGS84	HGIRG	9.74	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=fpom8
2523	Point	FPTC2	no_flooding	Thomasville	39.344722	-106.673056	Frying Pan River	CO	2.43	7/8/2016 15:30	ft	4	5	7	8	 	ft	gjt	NAD83/WGS84	HGIRG	0.12	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=fptc2
2524	Point	FQGT2	not_defined	Fort Quitman	31.0875	-105.609722	Rio Grande	TX	6.56	7/8/2016 16:15	ft	 	 	 	 	 	ft	epz	NAD83/WGS84	HGIRG	0.02	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=epz&gage=fqgt2
2525	Point	FRAI1	not_defined	Ashton	44.056153	-111.358681	Fall River (WY-ID)	ID	3.21	7/8/2016 15:45	ft	 	 	 	 	 	ft	pih	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pih&gage=frai1
2526	Point	FRAO1	not_defined	Frazeysburg	40.1325	-82.148056	Wakatomika Creek	OH	1.25	7/8/2016 16:00	ft	 	 	 	 	 	ft	pbz	NAD83/WGS84	HGIRG	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frao1
2527	Point	FRAT1	no_flooding	Franklin	35.920556	-86.865556	Harpeth River	TN	4.63	7/8/2016 15:15	ft	22	30	34	38	 	ft	ohx	NAD83/WGS84	HGIRG	0.29	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=frat1
2528	Point	FRAW4	no_flooding	Fremont Lake	43.026944	-109.773611	Pine Creek	WY	3.42	7/8/2016 15:45	ft	7	 	 	 	 	ft	riw	NAD83/WGS84	HGIRG	0.23	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=riw&gage=fraw4
2529	Point	FRBM5	not_defined	Faribault	44.258056	-93.230833	Straight River	MN	6.1	7/8/2016 15:15	ft	 	 	 	 	 	ft	mpx	NAD83/WGS84	HGIRG	1.04	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mpx&gage=frbm5
2530	Point	FRBM8	obs_not_current	Bigfork	48.092222	-114.115278	Flathead River	MT	 	N/A	ft	 	 	 	 	 	ft	mso	NAD83/WGS84	HGIRG	 	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=frbm8
2531	Point	FRBN1	no_flooding	Fairbury	40.146477	-97.199534	Little Blue River	NE	6.49	7/8/2016 15:45	ft	17	18.5	20	23	 	ft	oax	NAD83/WGS84	HGIRG	0.09	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=frbn1
2532	Point	FRBT2	no_flooding	Fredericksburg	30.220278	-98.869444	Pedernales River	TX	5.32	7/8/2016 16:00	ft	12	22	25	32	 	ft	ewx	NAD83/WGS84	HGIRZ	0.03	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=frbt2
2533	Point	FRDF1	no_flooding	Fernandina Beach	30.671667	-81.465	Atlantic Coast	FL	1.53	7/8/2016 15:54	ft	4.3	4.8	5.3	6.5	-6.5	ft	jax	NAD83/WGS84	HAIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=frdf1
2534	Point	FRDI3	no_flooding	Fredericksburg	38.433889	-86.191667	Blue River (IN)	IN	4.15	7/8/2016 15:30	ft	18	20	24	27	 	ft	lmk	NAD27	HGIRG	0.47	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=frdi3
2535	Point	FRDM2	not_defined	Friendsville	39.653611	-79.408333	Youghiogheny River	MD	2.77	7/8/2016 15:45	ft	 	 	 	 	 	ft	pbz	NAD83/WGS84	HGIRG	0.28	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frdm2
2536	Point	FRDM4	no_flooding	Hyde	45.755	-87.201944	Ford River	MI	1.78	7/8/2016 16:00	ft	7.5	8	11	13	 	ft	mqt	NAD83/WGS84	HGIRG	0.07	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mqt&gage=frdm4
2537	Point	FRDS2	no_flooding	Fort Randall Dam	43.068056	-98.554167	Missouri River	SD	1355.92	7/7/2016 5:00	ft	1373	 	 	 	 	ft	fsd	NAD83/WGS84	HPIRZ	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=frds2
2538	Point	FREG1	no_flooding	Free Home	34.293056	-84.263611	Settingdown Creek	GA	1.33	7/8/2016 16:15	ft	10	13	21	23	 	ft	ffc	NAD83/WGS84	HGIRG	0.04	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=freg1
2539	Point	FREI3	no_flooding	Edwardsport	38.806667	-87.246111	White River (IN)	IN	7.9	7/8/2016 11:00	ft	12	15	22	25	 	ft	ind	NAD83/WGS84	HGIRZ	4.31	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=frei3
2540	Point	FREM8	no_flooding	Intl Boundary	49	-107.302778	Frenchman Creek (MT)	MT	4.74	7/8/2016 15:20	ft	10	12	 	 	 	ft	ggw	NAD83/WGS84	HGIRG	0.05	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ggw&gage=frem8
2541	Point	FREN4	no_flooding	Frenchtown	40.526111	-75.065	Delaware River	NJ	1.55	7/8/2016 16:00	ft	14	16	18	20	 	ft	phi	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=fren4
2542	Point	FREN7	not_defined	Freeland	34.095	-78.548333	Waccamaw River	NC	4.07	7/8/2016 16:15	ft	 	 	 	 	 	ft	ilm	NAD83/WGS84	HGIRG	0.13	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=fren7
2543	Point	FREP1	no_flooding	Freeport Lock and Dam	40.684722	-79.6675	Allegheny River	PA	10.01	7/8/2016 15:30	ft	16	23	24	26	 	ft	pbz	NAD83/WGS84	HPIRG	4.48	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frep1
2544	Point	FRGO2	no_flooding	Forgan	37.011111	-100.491389	Cimarron River (KS)	KS	2.21	7/8/2016 16:00	ft	4	5	6	7	 	ft	ddc	NAD83/WGS84	HGIRG	0.02	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=frgo2
2545	Point	FRHT2	not_defined	Lake Ray Hubbard	32.8	-96.495833	North Texas Lakes	TX	435.54	7/8/2016 15:30	ft	 	 	 	 	392	ft	fwd	NAD27	HPIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=frht2
2546	Point	FRJN3	no_flooding	Franklin Jct.	43.422855	-71.6529	Merrimack River	NH	4.04	7/8/2016 15:30	ft	14	16	22	28	 	ft	gyx	NAD83/WGS84	HGIRG	0.77	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=gyx&gage=frjn3
2547	Point	FRKC2	no_flooding	Franktown	39.355833	-104.762778	Cherry Creek (CO)	CO	2.63	7/8/2016 16:00	ft	8	9.5	12	14	 	ft	bou	NAD27	HGIRG	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=frkc2
2548	Point	FRKN1	no_flooding	Norfolk	42.0471	-97.4135	North Fork Elkhorn River	NE	2.1	7/7/2016 22:00	ft	6	8.5	9.5	11	 	ft	oax	NAD83/WGS84	HGIRZ	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=frkn1
2549	Point	FRKP1	no_flooding	Franklin	41.389444	-79.820556	Allegheny River	PA	3.32	7/8/2016 16:00	ft	13	17	19	21	 	ft	pbz	NAD83/WGS84	HGIRG	3.15	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frkp1
2550	Point	FRKW3	no_flooding	Franklin	42.873611	-87.995833	Root River	WI	2.1	7/8/2016 15:00	ft	7	8	10	12	 	ft	mkx	NAD83/WGS84	HGIRP	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mkx&gage=frkw3
2551	Point	FRLK2	no_flooding	Franklin	36.723333	-86.552222	West Fork Drakes Creek	KY	8.86	7/8/2016 15:15	ft	10	 	 	 	 	ft	lmk	NAD27	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=frlk2
2552	Point	FRMK2	not_defined	Cave Run Farmers	38.14	-83.557222	Licking River	KY	2.79	7/8/2016 15:15	ft	 	 	 	 	 	ft	jkl	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=frmk2
2553	Point	FRMN5	no_flooding	Farmington	36.723056	-108.225556	San Juan River	NM	2.98	7/8/2016 16:00	ft	7	8.5	10	12	 	ft	abq	NAD83/WGS84	HGIRG	2.54	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=frmn5
2554	Point	FRMO3	obs_not_current	Farmington	45.449444	-122.950278	Tualatin River	OR	4.15	7/3/2016 0:30	ft	28	32	 	34	 	ft	pqr	NAD83/WGS84	HGIRG	0.16	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=frmo3
2555	Point	FRMS2	not_defined	Farm Island	44.334167	-100.265	Missouri River	SD	20.83	7/8/2016 15:15	ft	 	 	 	 	 	ft	abr	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=frms2
2556	Point	FRMV2	no_flooding	Farmville	37.306944	-78.388889	Appomattox River	VA	4.31	7/8/2016 15:45	ft	12	16	20	25	 	ft	akq	NAD27	HGIRG	0.13	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=frmv2
2557	Point	FRNC1	no_flooding	Fernbridge	40.615833	-124.201667	Eel River (CA)	CA	-0.67	7/8/2016 15:15	ft	14	20	22	25	 	ft	eka	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=eka&gage=frnc1
2558	Point	FRNG1	no_flooding	Franklin	33.279167	-85.1	Chattahoochee River	GA	9.62	7/8/2016 16:00	ft	19	23	27	30	 	ft	ffc	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=frng1
2559	Point	FRNI3	not_defined	Ferndale	39.711389	-87.071389	Big Raccoon Creek	IN	6.43	7/8/2016 15:30	ft	 	 	 	 	14	cfs	ind	NAD83/WGS84	HTIRG	0.12	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=frni3
2560	Point	FRNK1	no_flooding	Fredonia	37.508333	-95.833333	Fall River (KS)	KS	6.74	7/8/2016 16:00	ft	15	17	27	36	 	ft	ict	NAD27	HGIRG	1.38	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=frnk1
2561	Point	FRNL1	no_flooding	Franklinton	30.842778	-90.161944	Bogue Chitto River	LA	0.72	7/8/2016 16:00	ft	10	12	16	21	 	ft	lix	NAD83/WGS84	HGIRG	0.82	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=frnl1
2562	Point	FRNM4	no_flooding	Frankenmuth	43.327778	-83.748056	Cass River	MI	3.85	7/8/2016 15:45	ft	15	17	20	25	 	ft	dtx	NAD83/WGS84	HGIRG	0.1	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=frnm4
2563	Point	FRNN7	no_flooding	Francisco	36.515	-80.303056	Dan River	NC	1.58	7/8/2016 15:30	ft	9	13	16	19	 	ft	rnk	NAD83/WGS84	HGIRG	0.15	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=frnn7
2564	Point	FROV2	no_flooding	Front Royal	38.913889	-78.211111	South Fork Shenandoah River	VA	1.76	7/8/2016 15:15	ft	8	12	14	18	 	ft	lwx	NAD83/WGS84	HGIRG	1.06	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=frov2
2565	Point	FRPM6	not_defined	Friars Point	34.383889	-90.624167	Mississippi River	MS	13.76	7/8/2016 15:00	ft	 	 	 	 	 	ft	meg	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=frpm6
2566	Point	FRPN6	no_flooding	Freeport	40.6275	-73.575833	Atlantic Coast	NY	3.51	7/8/2016 15:30	ft	4	4.5	5	5.7	 	ft	okx	NAD83/WGS84	HMIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=okx&gage=frpn6
2567	Point	FRPP1	not_defined	Freeport	40.715833	-79.699722	Buffalo Creek (PA)	PA	1.35	7/8/2016 16:00	ft	 	 	 	 	 	ft	pbz	NAD83/WGS84	HGIRG	0.07	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frpp1
2568	Point	FRRT1	no_flooding	Frayser	35.259722	-89.994167	Loosahatchie River	TN	5.85	7/8/2016 15:00	ft	21	28	32	36	 	ft	meg	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=frrt1
2569	Point	FRRT2	not_defined	Freer	27.964722	-98.966667	San Casimiro Creek	TX	4.04	7/8/2016 16:00	ft	 	 	 	 	 	ft	crp	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=frrt2
2570	Point	FRSO2	no_flooding	Farris	34.271389	-95.911944	Muddy Boggy Creek	OK	10.29	7/8/2016 15:30	ft	40	43	44	45	 	ft	oun	NAD83/WGS84	HGIRG	0.19	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=frso2
2571	Point	FRST1	no_flooding	Farrisview Boulevard	35.076389	-89.954167	Nonconnah Creek	TN	6.77	7/8/2016 15:45	ft	26	31	 	 	 	ft	meg	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=frst1
2572	Point	FRUS2	no_flooding	Fruitdale	44.690833	-103.737222	Belle Fourche River	SD	1.71	7/8/2016 15:15	ft	10	12	13	14	 	ft	unr	NAD83/WGS84	HGIRG	0.02	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=frus2
2573	Point	FRVM3	no_flooding	Fall River	41.703333	-71.163333	Mount Hope Bay	MA	4.99	7/8/2016 15:54	ft	6	7	9.5	12	 	ft	box	NAD83/WGS84	HMIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=box&gage=frvm3
2574	Point	FRWC2	no_flooding	Winter Park	39.9	-105.776111	Fraser River (CO)	CO	0.83	7/8/2016 15:45	ft	2.7	3	3.5	5	 	ft	bou	NAD27	HGIRG	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=frwc2
2575	Point	FRWL1	no_flooding	Fresh Water Canal Locks	29.555	-92.304722	Tide Station	LA	1.38	7/8/2016 15:54	ft	3.21	4	5	6	 	ft	lch	NAD83/WGS84	HMIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=frwl1
2576	Point	FRYA1	no_flooding	Farley	34.623889	-86.541111	Aldridge Creek (AL)	AL	2.4	7/8/2016 15:50	ft	10	11	15	17	 	ft	hun	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=hun&gage=frya1
2577	Point	FRYM8	no_flooding	Forsyth	46.266111	-106.69	Yellowstone River	MT	2.49	7/8/2016 15:45	ft	 	14	16	18	 	ft	byz	NAD83/WGS84	HGIRG	7.8	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=frym8
2578	Point	FRYW1	no_flooding	Ferry	48.981389	-118.765278	Kettle River	WA	11.2	7/8/2016 15:15	ft	17.5	18.5	19.5	20.5	 	ft	otx	NAD83/WGS84	HGIRG	1.13	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=fryw1
2579	Point	FRZM7	no_flooding	Fredericktown	37.559444	-90.312778	Little St. Francis River	MO	2.83	7/8/2016 16:00	ft	12	14	18	26	 	ft	lsx	NAD83/WGS84	HGIRG	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=frzm7
2580	Point	FSHA1	no_flooding	Silverhill	30.545278	-87.798611	Fish River (AL)	AL	1.29	7/8/2016 15:30	ft	7	11	13	18	 	ft	mob	NAD83/WGS84	HGIRG	0.06	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=fsha1
2581	Point	FSHM5	not_defined	Fisher	47.800278	-96.808611	Red Lake River	MN	11.82	7/8/2016 15:30	ft	 	 	 	 	 	ft	fgf	NAD83/WGS84	HGIRG	0.74	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=fshm5
2582	Point	FSHN6	no_flooding	Fishs Eddy	41.973	-75.1744	East Branch Delaware River	NY	3.89	7/8/2016 15:15	ft	11	13	16	18	 	ft	bgm	NAD83/WGS84	HGIRG	0.24	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=fshn6
2583	Point	FSKK1	no_flooding	Fort Scott	37.848889	-94.7025	Marmaton River	KS	7.94	7/8/2016 15:30	ft	36	38	42	43	6	ft	sgf	NAD83/WGS84	HGIRG	0.05	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=fskk1
2584	Point	FSKM7	no_flooding	Fisk	36.790278	-90.200833	St. Francis River	MO	4.2	7/8/2016 16:00	ft	18	20	22	26	 	ft	pah	NAD83/WGS84	HGIRG	1.67	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pah&gage=fskm7
2585	Point	FSLL1	no_flooding	French Settlement	30.275278	-90.781944	Amite River	LA	0.61	7/8/2016 16:00	ft	3	4	6	8	 	ft	lix	Unknown	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=fsll1
2586	Point	FSLO2	not_defined	Fort Supply Lake	36.553889	-99.571111	Wolf Creek	OK	2004.09	7/8/2016 16:00	ft	 	 	 	 	 	ft	oun	NAD83/WGS84	HPIRG	14	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=fslo2
2587	Point	FSMI3	no_flooding	Foresman	40.870556	-87.306667	Iroquois River	IN	7.52	7/8/2016 15:45	ft	15	18	22	24	 	ft	lot	NAD83/WGS84	HGIRG	0.27	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=fsmi3
